pathway	description	HC-DS	HC-HD	HC-HX	HC-XY
PWY-6906	chitin derivatives degradation	0.0	89.00714770229413	0.0	0.0
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	24316.43784396675	25508.547109888124	27744.60052155725	26656.107017649905
PWY-7003	glycerol degradation to butanol	2406.826813765466	0.0	542.2191650445618	4277.746071188665
PWY-7013	L-1,2-propanediol degradation	43301.39636306385	46946.14714889978	49986.01378667585	46079.495092063975
PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis	0.0	0.0	0.0	27.959315228973256
PWY-7094	fatty acid salvage	292.2986660972048	5004.704690660086	4769.636956378454	14342.226942623158
PWY-7111	pyruvate fermentation to isobutanol (engineered)	28843.912541074693	33398.10950066627	30833.836980902357	32870.26700521228
PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I	19655.41775316965	20468.228998017607	21666.82141281934	21164.88097270326
PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II	16821.221970795727	17968.110013587233	18009.30322534685	17573.64579477744
PWY-7196	superpathway of pyrimidine ribonucleosides salvage	20185.249759477287	21866.03186781871	20739.606533469472	19871.09738193994
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	16857.551692421028	17341.689704291657	18069.499491644998	17741.168902145615
PWY-7199	pyrimidine deoxyribonucleosides salvage	16506.985285747873	18471.519578677147	17563.129547781686	16018.520379026546
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage	16598.58813805466	17776.04158005815	17852.267938659683	16924.045540520798
PWY-7208	superpathway of pyrimidine nucleobases salvage	23946.26107994729	24864.463005115063	23925.041922288565	23835.10834000097
PWY-7211	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	20313.86947916737	21548.883780449774	22322.698427151277	21806.74570380683
PWY-7219	adenosine ribonucleotides de novo biosynthesis	20179.2600199969	21845.81115754945	21041.27775123226	20910.796812353245
PWY-722	nicotinate degradation I	25.30909090909091	510.1843884039296	0.0	217.4542612204215
PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	23623.22410731817	26753.313521007447	24046.891465308978	23370.64462517043
PWY-7221	guanosine ribonucleotides de novo biosynthesis	20356.011123819597	21911.58770924176	21555.863921087985	21260.97339770748
PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	23623.22410731817	26753.313521007447	24046.891465308978	23370.64462517043
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	21764.82261702193	22679.66549757719	23515.956149239984	23013.023736723208
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	22241.739232085743	24377.094441511217	23120.359230635768	22805.514032790998
PWY-7234	inosine-5'-phosphate biosynthesis III	16381.728103942178	17827.27244994457	18096.69136418654	17677.699368528316
PWY-7237	myo-, chiro- and scillo-inositol degradation	39614.2	42228.17	45702.0	39452.97
PWY-7242	D-fructuronate degradation	22677.17080875517	25907.55557896205	24937.939330465404	22533.523424474555
PWY-7254	TCA cycle VII (acetate-producers)	23451.48471985933	25665.48159995451	27687.18573867889	27456.806568420776
PWY-7315	dTDP-N-acetylthomosamine biosynthesis	16429.032915205018	17957.247943932376	17943.039208008395	15816.42500232844
PWY-7323	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	4304.843494187584	4866.684716251744	5095.465730914082	4585.314259350375
PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	18348.32478545037	20254.42895363785	19957.80229775431	18616.743544807152
PWY-7332	superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	2031.5791334911887	0.0	0.0	157.5134707684546
PWY-7371	1,4-dihydroxy-6-naphthoate biosynthesis II	1597.5	0.0	8.1	61.2
PWY-7374	1,4-dihydroxy-6-naphthoate biosynthesis I	13.06061667834618	0.0	7.5	0.0
PWY-7376	cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)	91.91969270693008	1703.943151116719	0.0	683.0462512923064
PWY-7377	cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)	16309.281062403026	16788.948064055177	16414.38087853818	15087.887799517022
PWY-7392	taxadiene biosynthesis (engineered)	8406.407741565108	9243.633620474047	655.7158141777533	4265.911696250855
PWY-7400	L-arginine biosynthesis IV (archaebacteria)	17852.42741823902	19646.470598213426	18670.79149218965	18470.247024944863
PWY-7431	aromatic biogenic amine degradation (bacteria)	1179.7754385932	3747.314841647964	0.0	347.3571942428111
PWY-7446	sulfoglycolysis	0.0	0.0	0.0	24.0
PWY-7456	mannan degradation	2010.90053858983	6006.520704421457	0.0	0.0
PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	16718.12123905586	17232.14376017052	18421.80559297204	18822.17534509617
PWY-7560	methylerythritol phosphate pathway II	17365.84675934293	18913.850358305677	18121.233418128017	17982.601989228933
PWY-7663	gondoate biosynthesis (anaerobic)	34227.19200293404	37455.248485375465	37860.08178538949	35683.69096797003
PWY-7664	oleate biosynthesis IV (anaerobic)	25392.02996898682	28382.867509102336	29856.096241662864	28084.229459779144
PWY-841	superpathway of purine nucleotides de novo biosynthesis I	19902.767065369982	21130.54576098641	21178.22439978816	20861.23890542331
PWY-922	mevalonate pathway I	2.449914089623816	0.0	11.898260633103313	0.0
PWY0-1061	superpathway of L-alanine biosynthesis	25120.38217323767	27648.12640812797	26742.186772960016	26389.280333489536
PWY0-1241	ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	16238.800644220086	16406.049811221976	17356.136109799765	15291.071470833514
PWY0-1261	anhydromuropeptides recycling	28712.766372731443	30991.39111989431	30338.52171464271	29117.38901401353
PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	15179.9709458271	16202.01083509838	17608.864385712248	15204.350458722593
PWY0-1296	purine ribonucleosides degradation	17630.454947839913	18472.040887247324	17598.31552972208	16577.0573121298
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	20289.15776656677	21300.966749227908	20924.13469238685	19789.478143593373
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	20856.83955198849	22170.541931924632	21420.48654363819	19504.49454634824
PWY0-1319	CDP-diacylglycerol biosynthesis II	20977.644907546757	23626.22921718016	21800.035510308	21976.709390156942
PWY0-1338	polymyxin resistance	14879.83421782008	16494.768861168035	17342.742579153775	15186.100004470676
PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen-III	16765.25026278854	17998.022000309174	19357.57259780155	17824.27917987885
PWY0-1479	tRNA processing	8146.495545924946	8976.763488564431	6553.751266024877	9287.846475075814
PWY0-1533	methylphosphonate degradation I	18378.7618086409	20206.29480208657	21343.681181125736	18845.13635756277
PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	27765.035305697093	32904.45083738201	28502.072637231915	27401.481188031965
PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	21574.22635904756	22752.398186011294	23039.94360988428	22668.31313756137
PWY0-166	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	18014.15415348707	19180.45829679152	19537.93061076435	19165.078655749425
PWY0-321	phenylacetate degradation I (aerobic)	16640.650731931357	18396.23610370852	19436.804752955966	18428.154208377466
PWY0-42	2-methylcitrate cycle I	30.390156912099638	582.3582986572237	298.7431791175872	632.7066760071109
PWY0-781	aspartate superpathway	20555.575954451982	22661.7983483022	21970.890830854045	21497.072827380667
PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	19360.636571311057	21374.822281434008	22310.03279136401	20912.323497515416
PWY0-862	(5Z)-dodec-5-enoate biosynthesis	24069.241857916164	26925.34731801288	28487.3117757602	26741.71670762833
PWY490-3	nitrate reduction VI (assimilatory)	326.55119079674137	0.0	2.9998352960553403	0.0
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	22127.72139675862	25294.96915390148	23281.37975852352	23201.55391284945
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	22127.721396758625	25294.96915390149	23281.37975852352	23201.55391284945
PWYG-321	mycolate biosynthesis	0.0	26423.608022203967	30407.447612826665	28783.43446213043
PYRIDNUCSAL-PWY	NAD salvage pathway I	16201.629483754718	18019.239667010857	18052.44290257206	17258.304456441492
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	16238.753643900012	17722.59866577549	17226.982312632776	16178.107222742155
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	15339.519823114086	17028.163549162764	18011.79336120768	17385.74998453001
REDCITCYC	TCA cycle VIII (helicobacter)	25332.36729000052	27945.88239811237	30163.443757722565	29784.88385751115
RHAMCAT-PWY	L-rhamnose degradation I	13855.665507339034	16354.322866410726	15234.0	13561.211888801185
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	17263.254334932797	18778.186965038967	18203.223488333217	18228.64888222899
RUMP-PWY	formaldehyde oxidation I	284.76560551326537	0.0	10.495821491100276	718.1459218024594
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	2422.13862891429	4227.342719506459	3177.877743205324	10782.024895307572
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	20656.961582465545	22318.9138479462	21616.27854186473	22102.945144197245
SO4ASSIM-PWY	sulfate reduction I (assimilatory)	20098.55276080211	22346.77886922263	23927.900339591408	22842.6379229378
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	21456.568257942537	23804.98988646064	24373.04681818264	23989.220454025577
TCA	TCA cycle I (prokaryotic)	27616.9539544212	29270.025907464675	31452.873839533226	30528.98083863801
TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA	21565.837660271725	23210.42627106118	25196.8067948469	24268.54566962438
TEICHOICACID-PWY	teichoic acid (poly-glycerol) biosynthesis	1959.0397862809195	23.954001919799705	2.386721863388344	0.0
THISYN-PWY	superpathway of thiamin diphosphate biosynthesis I	17119.393481894545	17918.086674024988	18364.989230500527	17898.571495840744
THREOCAT-PWY	superpathway of L-threonine metabolism	17633.1218509911	18834.014371954145	19312.738119241672	17838.88218619859
THRESYN-PWY	superpathway of L-threonine biosynthesis	23468.368597147142	25883.03567970157	24888.523744384675	24957.642538773194
TRNA-CHARGING-PWY	tRNA charging	19415.15928913372	21467.11770404432	20142.181306060327	19920.566100988115
TRPSYN-PWY	L-tryptophan biosynthesis	19140.5274819812	20750.768306224032	20092.582694825487	19881.427075888536
TYRFUMCAT-PWY	L-tyrosine degradation I	38.62901306261014	764.6143795090006	1111.1709035954036	3477.8431082306893
UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (prokaryotic)	17685.528623888807	19392.714626742705	20562.192075983057	19587.997902011142
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	17006.690745410542	17753.973475848063	18100.09129570057	18324.10159529401
VALSYN-PWY	L-valine biosynthesis	22633.38768995385	24767.501043206616	23602.252376425105	24284.393975521536
