function	description	HC-DS	HC-HD	HC-HX	HC-XY
K01641	E2.3.3.10; hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]	1.75	0.0	8.5	0.0
K01643	citF; citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]	13286.66	13945.17	15286.25	14034.51
K01644	citE; citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	13291.91	13963.17	15429.0	14079.85
K01646	citD; citrate lyase subunit gamma (acyl carrier protein)	13286.66	13945.17	15286.25	14034.51
K01647	CS, gltA; citrate synthase [EC:2.3.3.1]	28818.11	32534.37	33263.25	30802.65
K01649	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	30592.03	32580.54	33338.0	30628.65
K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	77797.89	83719.05	86760.0	79320.14000000001
K01653	E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]	32288.03	34772.54	33193.0	30593.98
K01654	E2.5.1.56, neuB; N-acetylneuraminate synthase [EC:2.5.1.56]	0.0	46.17	0.0	21.67
K01657	trpE; anthranilate synthase component I [EC:4.1.3.27]	17057.98	19075.37	18108.25	17772.61
K01658	trpG; anthranilate synthase component II [EC:4.1.3.27]	3873.23	5167.37	2802.0	4562.4400000000005
K01659	prpC; 2-methylcitrate synthase [EC:2.3.3.5]	28.45	467.0	689.75	2254.4700000000003
K01661	menB; naphthoate synthase [EC:4.1.3.36]	14852.0	15958.37	17375.0	14955.67
K01662	dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	17255.53	18646.57	18113.75	17904.14
K01664	pabA; para-aminobenzoate synthetase component II [EC:2.6.1.85]	15076.25	15947.17	17335.75	14955.67
K01665	pabB; para-aminobenzoate synthetase component I [EC:2.6.1.85]	15099.45	16425.37	17871.75	17123.14
K01666	mhpE; 4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39]	13096.25	13908.0	15240.75	13076.5
K01667	tnaA; tryptophanase [EC:4.1.99.1]	1860.58	2013.2	2099.75	2080.17
K01669	phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]	14875.2	16414.17	18078.0	17187.47
K01671	yihT; sulfofructosephosphate aldolase [EC:4.1.2.57]	0.0	0.0	0.0	24.0
K01673	cynT, can; carbonic anhydrase [EC:4.2.1.1]	43294.1	47432.70999999999	49130.5	46245.75
K01674	cah; carbonic anhydrase [EC:4.2.1.1]	0.0	0.0	7.0	24.0
K01676	E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]	27966.2	30324.37	33292.0	30310.64
K01677	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]	2378.58	2201.0	52.25	716.67
K01678	E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]	2378.58	2201.0	52.25	716.67
K01679	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	16320.48	16872.17	18013.5	17685.61
K01681	ACO, acnA; aconitate hydratase [EC:4.2.1.3]	17983.309999999998	21294.37	18712.25	20008.95
K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	14875.2	16405.17	18010.0	17187.47
K01684	dgoD; galactonate dehydratase [EC:4.2.1.6]	13302.86	14375.0	15234.0	13794.31
K01685	uxaA; altronate hydrolase [EC:4.2.1.7]	16358.99	20360.37	17329.0	15718.35
K01686	uxuA; mannonate dehydratase [EC:4.2.1.8]	29355.66	34281.77	32561.0	28525.51
K01687	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]	18171.97	21321.37	19152.25	20856.96
K01689	ENO, eno; enolase [EC:4.2.1.11]	17961.86	20827.37	18122.75	18196.15
K01690	edd; phosphogluconate dehydratase [EC:4.2.1.12]	14875.2	16414.17	18010.0	17187.47
K01692	paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]	13160.6	15355.17	16510.0	17657.58
K01693	hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	2401.78	2668.0	623.25	2465.1400000000003
K01695	trpA; tryptophan synthase alpha chain [EC:4.2.1.20]	17253.78	18626.37	18073.25	17926.809999999998
K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]	17259.03	18626.37	18080.0	17926.809999999998
K01697	CBS; cystathionine beta-synthase [EC:4.2.1.22]	13114.2	14403.17	15315.0	13386.97
K01698	hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]	17182.65	19073.17	18062.75	17835.27
K01699	pduC; propanediol dehydratase large subunit [EC:4.2.1.28]	13091.0	13908.0	15234.0	13076.5
K01703	leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	17282.23	19084.37	18036.0	17708.28
K01704	leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	17282.23	19084.37	18036.0	17708.28
K01706	gudD; glucarate dehydratase [EC:4.2.1.40]	13302.86	14366.0	15302.0	15738.64
K01707	kdgD; 5-dehydro-4-deoxyglucarate dehydratase [EC:4.2.1.41]	23.2	467.0	68.0	2144.8
K01708	garD; galactarate dehydratase [EC:4.2.1.42]	13208.53	14366.0	15302.0	15514.64
K01709	rfbG; CDP-glucose 4,6-dehydratase [EC:4.2.1.45]	94.33	9.0	0.0	246.67
K01710	E4.2.1.46, rfbB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	18697.28	21716.37	18610.25	16782.309999999998
K01711	gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47]	1761.0	2022.2	2141.0	1880.17
K01712	hutU, UROC1; urocanate hydratase [EC:4.2.1.49]	14880.45	16425.37	17999.75	17651.809999999998
K01713	pheC; cyclohexadienyl dehydratase [EC:4.2.1.51 4.2.1.91]	14875.2	16405.17	17327.0	15109.47
K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	49063.12	53631.70999999999	53341.0	54804.75000000001
K01715	crt; enoyl-CoA hydratase [EC:4.2.1.17]	664.0	9.0	163.75	528.67
K01716	fabA; 3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]	14875.2	16414.17	17474.0	15220.47
K01719	hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75]	14875.2	16425.37	18058.0	17210.14
K01720	prpD; 2-methylcitrate dehydratase [EC:4.2.1.79]	23.2	467.0	79.0	287.47
K01724	PCBD, phhB; 4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]	23.2	467.0	147.0	287.47
K01725	cynS; cyanate lyase [EC:4.2.1.104]	23.2	495.17	0.0	222.14
K01728	pel; pectate lyase [EC:4.2.2.2]	0.0	0.0	0.0	22.67
K01729	algL; poly(beta-D-mannuronate) lyase [EC:4.2.2.3]	23.2	458.0	79.0	264.8
K01730	ogl; oligogalacturonide lyase [EC:4.2.2.6]	13185.33	13908.0	15234.0	13323.17
K01733	thrC; threonine synthase [EC:4.2.3.1]	17259.03	18635.37	18080.0	17972.15
K01734	mgsA; methylglyoxal synthase [EC:4.2.3.3]	16605.66	20378.37	17372.5	15868.01
K01735	aroB; 3-dehydroquinate synthase [EC:4.2.3.4]	17253.78	18626.37	18119.25	17926.809999999998
K01736	aroC; chorismate synthase [EC:4.2.3.5]	17253.78	18626.37	18121.25	17926.809999999998
K01737	queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	17136.45	18635.37	17959.25	17261.14
K01738	cysK; cysteine synthase A [EC:2.5.1.47]	34548.18	42077.74	36139.75	33325.08
K01739	metB; cystathionine gamma-synthase [EC:2.5.1.48]	15487.2	18606.17	17415.0	15220.47
K01740	metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	3131.11	4902.6	911.75	3217.8100000000004
K01744	aspA; aspartate ammonia-lyase [EC:4.3.1.1]	17848.03	20818.37	18042.5	17817.14
K01745	hutH, HAL; histidine ammonia-lyase [EC:4.3.1.3]	14950.05	17838.74	18078.75	18293.88
K01746	E4.3.1.4; formiminotetrahydrofolate cyclodeaminase [EC:4.3.1.4]	0.0	0.0	2.0	0.0
K01749	hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61]	17253.78	18615.17	18062.75	17926.809999999998
K01750	E4.3.1.12, ocd; ornithine cyclodeaminase [EC:4.3.1.12]	1807.4	2982.17	2765.0	2301.4500000000003
K01751	E4.3.1.15; diaminopropionate ammonia-lyase [EC:4.3.1.15]	14829.91	13917.0	15354.75	14039.84
K01752	E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]	32769.76	35688.54	33409.5	32098.58
K01753	dsdA; D-serine dehydratase [EC:4.3.1.18]	15576.25	16513.17	18708.75	17529.34
K01754	E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]	32152.18	35478.34	36735.25	37327.09
K01755	argH, ASL; argininosuccinate lyase [EC:4.3.2.1]	17300.18	19542.37	18073.25	18282.41
K01756	purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]	17260.78	18626.37	18129.5	17904.14
K01758	CTH; cystathionine gamma-lyase [EC:4.4.1.1]	13208.53	14412.17	15313.0	13633.64
K01759	GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]	44629.44	50899.53999999999	48607.25	44594.81999999999
K01760	metC; cystathionine beta-lyase [EC:4.4.1.8]	15706.2	18633.17	18476.0	17168.480000000003
K01761	E4.4.1.11; methionine-gamma-lyase [EC:4.4.1.11]	23.2	504.17	2.0	199.47
K01766	csdA; cysteine sulfinate desulfinase [EC:4.4.1.-]	14875.2	16405.17	17327.0	15133.47
K01768	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]	0.0	9.0	147.0	87.0
K01770	ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]	17253.78	18617.37	18112.25	17904.14
K01772	hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]	14875.2	16414.17	18017.0	17187.47
K01775	alr; alanine racemase [EC:5.1.1.1]	30639.44	32571.54	33943.5	33950.990000000005
K01776	murI; glutamate racemase [EC:5.1.1.3]	17161.2	18635.37	18579.75	19537.47
K01777	prdF; proline racemase [EC:5.1.1.4]	0.0	0.0	2.0	22.67
K01778	dapF; diaminopimelate epimerase [EC:5.1.1.7]	17373.059999999998	19084.37	18115.75	18351.28
K01779	racD; aspartate racemase [EC:5.1.1.13]	3140.4	2955.17	2248.25	4361.110000000001
K01782	fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]	14875.2	16423.17	17942.0	17210.14
K01783	rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]	17445.94	18626.37	18124.25	18420.15
K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	20605.99	24791.57	18722.75	18735.02
K01785	galM, GALM; aldose 1-epimerase [EC:5.1.3.3]	29109.81	33023.77	33251.0	31289.78
K01787	RENBP; N-acylglucosamine 2-epimerase [EC:5.1.3.8]	0.0	26.8	48.0	0.0
K01788	nanE; N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]	13891.66	16146.17	15236.0	13615.51
K01790	rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	3829.53	5788.37	1277.0	1872.31
K01791	wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]	17237.58	18177.37	17973.5	17662.010000000002
K01792	E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]	14875.2	16405.17	17410.0	15220.47
K01795	algG; mannuronan 5-epimerase [EC:5.1.3.37]	23.2	458.0	0.0	177.8
K01799	nicE, maiA; maleate isomerase [EC:5.2.1.1]	23.2	485.0	0.0	200.47000000000003
K01800	maiA, GSTZ1; maleylacetoacetate isomerase [EC:5.2.1.2]	23.2	458.0	683.0	2254.4700000000003
K01801	nagL; maleylpyruvate isomerase [EC:5.2.1.4]	0.0	9.0	68.0	1989.67
K01802	E5.2.1.8; peptidylprolyl isomerase [EC:5.2.1.8]	46.4	947.4	762.0	2519.27
K01803	TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]	28056.94	29966.37	30542.25	29079.15
K01804	araA; L-arabinose isomerase [EC:5.3.1.4]	15558.33	18159.37	17327.0	15202.34
K01805	xylA; xylose isomerase [EC:5.3.1.5]	27005.86	30486.2	30468.0	26848.14
K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	14876.95	16425.37	18020.5	17210.14
K01808	rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]	13201.44	14047.37	12472.25	12068.48
K01809	manA, MPI; mannose-6-phosphate isomerase [EC:5.3.1.8]	17344.61	18617.37	17443.0	16119.48
K01810	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]	17255.53	18626.37	18122.75	17949.480000000003
K01811	xylS, yicI; alpha-D-xyloside xylohydrolase [EC:3.2.1.177]	14315.0	18350.2	15234.0	13100.5
K01812	uxaC; glucuronate isomerase [EC:5.3.1.12]	15652.66	18159.37	17329.0	15449.01
K01813	rhaA; L-rhamnose isomerase [EC:5.3.1.14]	13797.33	16120.2	15234.0	13347.17
K01814	hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	17154.78	18626.37	18027.25	17507.809999999998
K01815	kduI; 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17]	2467.33	4262.57	2172.0	2212.84
K01816	hyi, gip; hydroxypyruvate isomerase [EC:5.3.1.22]	13137.4	14898.34	15917.0	15574.78
K01817	trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24]	2401.78	2679.2	794.25	2971.1400000000003
K01818	fucI; L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]	13797.33	16120.2	15234.0	13323.17
K01819	E5.3.1.26, lacA, lacB; galactose-6-phosphate isomerase [EC:5.3.1.26]	3.5	0.0	3.0	0.0
K01821	praC, xylH; 4-oxalocrotonate tautomerase [EC:5.3.2.6]	25496.7	27708.0	30253.5	25770.8
K01822	E5.3.3.1; steroid Delta-isomerase [EC:5.3.3.1]	0.0	0.0	68.0	0.0
K01823	idi, IDI; isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]	13092.75	13945.17	15242.5	13122.17
K01825	fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]	14875.2	16405.17	17863.0	17100.47
K01826	hpaF, hpcD; 5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]	13137.4	14870.17	15838.0	15444.77
K01829	E5.3.4.1; protein disulfide-isomerase [EC:5.3.4.1]	0.0	0.0	79.0	87.0
K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	15074.5	15976.37	17534.0	15484.34
K01835	pgm; phosphoglucomutase [EC:5.4.2.2]	17961.86	20818.37	17439.75	16096.81
K01838	pgmB; beta-phosphoglucomutase [EC:5.4.2.6]	2448.0	8804.0	0.0	24.0
K01839	deoB; phosphopentomutase [EC:5.4.2.7]	16618.78	16414.17	17386.75	15850.14
K01840	manB; phosphomannomutase [EC:5.4.2.8]	13721.2	13831.37	15115.0	14781.97
K01841	pepM; phosphoenolpyruvate phosphomutase [EC:5.4.2.9]	1326.0	0.0	0.0	73.67
K01843	kamA; lysine 2,3-aminomutase [EC:5.4.3.2]	10.5	11.2	57.5	419.0
K01845	hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]	17182.65	19064.17	18060.75	17835.27
K01846	glmS, mutS, mamA; methylaspartate mutase sigma subunit [EC:5.4.99.1]	5.25	0.0	50.75	419.0
K01847	MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]	2652.0	40.4	68.0	102.0
K01848	E5.4.99.2A, mcmA1; methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]	1336.5	0.0	13.5	51.0
K01849	E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]	1336.5	0.0	13.5	51.0
K01854	glf; UDP-galactopyranose mutase [EC:5.4.99.9]	15317.24	16127.0	15347.75	13867.51
K01856	catB; muconate cycloisomerase [EC:5.5.1.1]	13114.2	14384.0	15770.0	15243.97
K01857	pcaB; 3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]	13114.2	14377.17	15770.0	15242.97
K01858	INO1, ISYNA1; myo-inositol-1-phosphate synthase [EC:5.5.1.4]	0.0	11.2	0.0	0.0
K01866	YARS, tyrS; tyrosyl-tRNA synthetase [EC:6.1.1.1]	18086.53	20827.37	18166.75	18323.14
K01867	WARS, trpS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]	30346.53	32571.54	33356.75	31048.98
K01868	TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]	17255.53	18626.37	18122.75	17926.809999999998
K01869	LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]	17255.53	18626.37	18122.75	17926.809999999998
K01870	IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	17255.53	18626.37	18122.75	17904.14
K01872	AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]	18915.06	23495.37	18168.25	18792.95
K01873	VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]	17867.53	20827.37	18122.75	17904.14
K01874	MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]	18185.53	20827.37	18122.75	17926.809999999998
K01875	SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]	17255.53	18626.37	18122.75	17926.809999999998
K01876	aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]	17255.53	18626.37	18122.75	17926.809999999998
K01878	glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	16208.2	16414.17	18027.25	17238.47
K01879	glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	16208.2	16414.17	18027.25	17238.47
K01880	GARS, glyS1; glycyl-tRNA synthetase [EC:6.1.1.14]	1659.33	4413.2	95.5	665.67
K01881	PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]	17255.53	18626.37	18122.75	17926.809999999998
K01883	CARS, cysS; cysteinyl-tRNA synthetase [EC:6.1.1.16]	17255.53	18626.37	18122.75	17926.809999999998
K01885	EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]	17253.78	18635.37	18116.25	17904.14
K01886	QARS, glnS; glutaminyl-tRNA synthetase [EC:6.1.1.18]	17154.78	18617.37	18110.75	17926.809999999998
K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	17867.53	20827.37	18122.75	17926.809999999998
K01889	FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	17260.78	18626.37	18129.5	17926.809999999998
K01890	FARSB, pheT; phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	17255.53	18626.37	18122.75	17926.809999999998
K01892	HARS, hisS; histidyl-tRNA synthetase [EC:6.1.1.21]	17255.53	18626.37	18122.75	17926.809999999998
K01893	NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]	15906.33	18159.37	17514.75	15708.34
K01894	gluQ; glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]	14875.2	16414.17	18010.0	17210.14
K01895	ACSS, acs; acetyl-CoA synthetase [EC:6.2.1.1]	14955.1	17350.37	19097.0	21522.41
K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	20281.04	22128.31	20380.75	20485.060000000005
K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	16216.95	16425.37	18032.25	17261.14
K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	16216.95	16425.37	18032.25	17261.14
K01907	AACS, acsA; acetoacetyl-CoA synthetase [EC:6.2.1.16]	23.2	467.0	68.0	177.8
K01908	prpE; propionyl-CoA synthetase [EC:6.2.1.17]	0.0	9.0	147.0	109.67
K01910	citC; [citrate (pro-3S)-lyase] ligase [EC:6.2.1.22]	13187.08	13945.17	15279.5	13787.84
K01911	menE; O-succinylbenzoic acid---CoA ligase [EC:6.2.1.26]	14852.0	15958.37	17375.0	14955.67
K01912	paaK; phenylacetate-CoA ligase [EC:6.2.1.30]	15368.89	17106.97	15851.5	16258.45
K01914	asnA; aspartate--ammonia ligase [EC:6.3.1.1]	14140.08	16157.37	15288.0	13787.84
K01915	glnA, GLUL; glutamine synthetase [EC:6.3.1.2]	18348.31	23606.77	18213.5	21316.95
K01916	nadE; NAD+ synthase [EC:6.3.1.5]	13144.4	14842.0	15249.25	13456.1
K01918	panC; pantoate--beta-alanine ligase [EC:6.3.2.1]	17136.45	18626.37	18068.25	17261.14
K01919	gshA; glutamate--cysteine ligase [EC:6.3.2.2]	15094.2	16414.17	18087.0	17210.14
K01920	gshB; glutathione synthase [EC:6.3.2.3]	14875.2	16414.17	18010.0	17210.14
K01921	ddl; D-alanine-D-alanine ligase [EC:6.3.2.4]	31004.93	35697.54	33435.75	31468.91
K01922	PPCS, COAB; phosphopantothenate---cysteine ligase (ATP) [EC:6.3.2.51]	612.0	2201.0	7.0	0.0
K01923	purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	17253.78	18626.37	18121.25	17926.809999999998
K01924	murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	17255.53	18626.37	18122.75	17926.809999999998
K01925	murD; UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	17349.86	18626.37	18122.75	18150.81
K01926	rex; redox-sensing transcriptional repressor	2380.33	2212.2	62.75	716.67
K01928	murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	17257.28	18626.37	18124.25	17904.14
K01929	murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	17255.53	18635.37	18122.75	17904.14
K01933	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	17253.78	18626.37	18121.25	17926.809999999998
K01934	MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	17255.53	18626.37	18054.75	17904.14
K01935	bioD; dethiobiotin synthetase [EC:6.3.3.3]	31152.2	32363.54	35339.0	32194.14
K01937	pyrG, CTPS; CTP synthase [EC:6.3.4.2]	30346.53	32543.37	33356.75	31003.31
K01938	fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3]	2385.58	2221.2	119.5	716.67
K01939	purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]	17255.53	18626.37	18122.75	17904.14
K01940	argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]	17253.78	18626.37	18073.25	17926.809999999998
K01941	E6.3.4.6; urea carboxylase [EC:6.3.4.6]	23.2	504.17	536.0	2211.81
K01945	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]	17253.78	18626.37	18121.25	17904.14
K01950	E6.3.5.1, NADSYN1, QNS1, nadE; NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]	4134.33	4251.37	2941.5	4625.84
K01951	guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	43531.86	46519.91	49895.75	46556.16
K01952	purL, PFAS; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	17276.78	18644.37	18121.25	17904.14
K01953	asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	16153.78	18626.37	17624.5	16060.14
K01955	carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	17697.86	18637.57	18180.5	18173.480000000003
K01956	carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	17262.53	18626.37	18131.0	17904.14
K01958	PC, pyc; pyruvate carboxylase [EC:6.4.1.1]	323.25	9.0	8.75	0.0
K01959	pycA; pyruvate carboxylase subunit A [EC:6.4.1.1]	23.2	458.0	0.0	177.8
K01960	pycB; pyruvate carboxylase subunit B [EC:6.4.1.1]	23.2	480.4	48.0	177.8
K01961	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	17255.53	18655.57	18070.75	17926.809999999998
K01962	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]	15835.2	18615.17	18070.75	17629.14
K01963	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	16541.53	20816.17	18070.75	17853.14
K01965	PCCA, pccA; propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]	0.0	9.0	68.0	0.0
K01966	PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]	0.0	31.4	68.0	0.0
K01968	E6.4.1.4A; 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]	23.2	476.0	683.0	2254.4700000000003
K01969	E6.4.1.4B; 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]	23.2	467.0	683.0	2254.4700000000003
K01971	ligD; bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]	51.45	476.0	85.75	287.47
K01972	E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]	32130.730000000003	34994.369999999995	35449.75	33015.94
K01974	RTCA, rtcA; RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]	23.2	458.0	79.0	264.8
K01975	thpR; RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]	15492.25	18157.17	17333.75	14955.67
K01989	ABC.X4.S; putative ABC transport system substrate-binding protein	2458.66	2210.0	137.0	986.01
K01990	ABC-2.A; ABC-2 type transport system ATP-binding protein	56013.7	68847.34	52097.5	52507.82000000001
K01991	ABC-2.OM, wza; polysaccharide biosynthesis/export protein	13114.2	14496.34	15868.0	15357.98
K01992	ABC-2.P; ABC-2 type transport system permease protein	82192.9	99257.25	86510.0	86720.8
K01993	ABC-2.TX; HlyD family secretion protein	42488.03	44309.94	49204.5	43792.15
K01995	livG; branched-chain amino acid transport system ATP-binding protein	44135.46	50098.34	48383.25	42636.58
K01996	livF; branched-chain amino acid transport system ATP-binding protein	45896.46	52100.34	50476.25	44470.08
K01997	livH; branched-chain amino acid transport system permease protein	42814.71	50098.34	48322.0	42585.58
K01998	livM; branched-chain amino acid transport system permease protein	44140.71	50098.34	48390.0	42636.58
K01999	livK; branched-chain amino acid transport system substrate-binding protein	68783.96	76477.51000000001	77435.25	67419.25
K02000	proV; glycine betaine/proline transport system ATP-binding protein [EC:3.6.3.32]	14898.4	16929.54	17395.0	15355.61
K02001	proW; glycine betaine/proline transport system permease protein	14898.4	16929.54	17395.0	15355.61
K02002	proX; glycine betaine/proline transport system substrate-binding protein	15037.6	19677.54	17395.0	16445.08
K02003	ABC.CD.A; putative ABC transport system ATP-binding protein	19928.89	34453.369999999995	12458.5	18930.370000000003
K02004	ABC.CD.P; putative ABC transport system permease protein	30470.98	46365.17	25665.0	29774.53
